class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor
2023201,PCS3563,Gerência e Qualidade de Software,,2023-08-07,2023-12-21,eletrica_crawler,seg,14:00,17:40,eletrica,,0
2023201,PSI3442,Projeto de Sistemas Embarcados,,2023-08-07,2023-12-21,eletrica_crawler,seg,07:30,09:10,eletrica,B2-09,0
2023201,PSI3442,Projeto de Sistemas Embarcados,,2023-08-07,2023-12-21,eletrica_crawler,sex,09:20,11:00,eletrica,B2-09,0
2023201,PSI3472,Concepção e Implementação de Sistemas Eletrônicos Inteligentes,,2023-08-07,2023-12-21,eletrica_crawler,seg,09:20,11:00,eletrica,B2-09,0
2023201,PSI3472,Concepção e Implementação de Sistemas Eletrônicos Inteligentes,,2023-08-07,2023-12-21,eletrica_crawler,ter,07:30,09:10,eletrica,"B2-09,GD-06",0
2023201,PEA3405,Laboratório de Máquinas Elétricas,,2023-08-07,2023-12-21,eletrica_crawler,seg,07:30,11:00,eletrica,B2-10,0
2023202,PEA3405,Laboratório de Máquinas Elétricas,,2023-08-07,2023-12-21,eletrica_crawler,seg,07:30,11:00,eletrica,B2-10,0
2023201,PEA3417,Sistemas de Potência II,,2023-08-07,2023-12-21,eletrica_crawler,ter,13:10,14:50,eletrica,B2-10,0
2023201,PEA3417,Sistemas de Potência II,,2023-08-07,2023-12-21,eletrica_crawler,qua,13:10,14:50,eletrica,B2-10,0
2023201,PEA3521,Qualidade e Regulação de Energia Elétrica,,2023-08-07,2023-12-21,eletrica_crawler,seg,11:10,12:50,eletrica,B2-10,0
2023201,PEA3521,Qualidade e Regulação de Energia Elétrica,,2023-08-07,2023-12-21,eletrica_crawler,sex,07:30,09:10,eletrica,B2-10,0
2023201,PEA3550,Acionamentos Elétricos Industriais,,2023-08-07,2023-12-21,eletrica_crawler,seg,16:50,18:30,eletrica,B2-10,0
2023201,PEA3550,Acionamentos Elétricos Industriais,,2023-08-07,2023-12-21,eletrica_crawler,qui,16:50,18:30,eletrica,,0
2023201,PEA3406,Laboratório de Sistemas  de Potência,,2023-08-07,2023-12-21,eletrica_crawler,seg,07:30,11:00,eletrica,B2-12,0
2023202,PEA3406,Laboratório de Sistemas  de Potência,,2023-08-07,2023-12-21,eletrica_crawler,seg,07:30,11:00,eletrica,B2-12,0
2023201,PEA3414,Máquinas Elétricas II,,2023-08-07,2023-12-21,eletrica_crawler,seg,15:00,16:40,eletrica,B2-12,0
2023201,PEA3490,Eletrônica de Potência II,,2023-08-07,2023-12-21,eletrica_crawler,ter,07:30,09:10,eletrica,,0
2023202,PEA3490,Eletrônica de Potência II,,2023-08-07,2023-12-21,eletrica_crawler,ter,09:20,11:00,eletrica,,0
2023203,PEA3490,Eletrônica de Potência II,,2023-08-07,2023-12-21,eletrica_crawler,ter,11:10,12:50,eletrica,,0
2023250,PEA3490,Eletrônica de Potência II,,2023-08-07,2023-12-21,eletrica_crawler,seg,13:10,14:50,eletrica,B2-12,0
2023201,PSI3501,Processamento de Voz e Aprendizagem de Máquina,,2023-08-07,2023-12-21,eletrica_crawler,seg,16:50,18:30,eletrica,C1-05,0
2023201,PSI3501,Processamento de Voz e Aprendizagem de Máquina,,2023-08-07,2023-12-21,eletrica_crawler,qua,15:00,16:40,eletrica,C1-05,0
2023241,MAC0122,Princípios de Desenvolvimento de Algoritmos,,2023-08-07,2023-12-21,eletrica_crawler,ter,08:00,09:40,eletrica,,0
2023241,MAC0122,Princípios de Desenvolvimento de Algoritmos,,2023-08-07,2023-12-21,eletrica_crawler,qui,10:00,11:40,eletrica,,0
2023242,MAC0122,Princípios de Desenvolvimento de Algoritmos,,2023-08-07,2023-12-21,eletrica_crawler,ter,08:00,09:40,eletrica,,0
2023242,MAC0122,Princípios de Desenvolvimento de Algoritmos,,2023-08-07,2023-12-21,eletrica_crawler,qui,10:00,11:40,eletrica,,0
2023250,MAC0122,Princípios de Desenvolvimento de Algoritmos,,2023-08-07,2023-12-21,eletrica_crawler,seg,13:10,14:50,eletrica,C1-30,0
